nct_id	measurement	text	Symbol	label
NCT00611000	DNA methylation (overall, p53 coding, p16 promoter, MLH1 promoter) in PBMCs and rectal biopsy cells	MLH1 promoter	MLH1	epigenetic
NCT00611000	DNA methylation (overall, p53 coding, p16 promoter, MLH1 promoter) in PBMCs and rectal biopsy cells	p16 promoter	CDKN2A	epigenetic
NCT00611000	DNA methylation (overall, p53 coding, p16 promoter, MLH1 promoter) in PBMCs and rectal biopsy cells	p16 promoter	H3P10	epigenetic
NCT00619112	Progression-free Survival (PFS) Based on Tumor MGMT (O(6)-Methylguanine-DNA Methyltransferase) Promoter Methylation Status.	Methylguanine-DNA Methyltransferase	MGMT	epigenetic
NCT00619112	Progression-free survival data (obtained for Primary Outcome Measure) was correlated with tumor MGMT (O(6)-methylguanine-DNA methyltransferase) promoter methylation status, obtained from patients as part of the study.	methylguanine-DNA methyltransferase	MGMT	epigenetic
NCT00619112	Progression-free Survival (PFS) Based on Tumor MGMT (O(6)-Methylguanine-DNA Methyltransferase) Promoter Methylation Status.	MGMT	MGMT	epigenetic
NCT00619112	Progression-free survival data (obtained for Primary Outcome Measure) was correlated with tumor MGMT (O(6)-methylguanine-DNA methyltransferase) promoter methylation status, obtained from patients as part of the study.	MGMT	MGMT	epigenetic
NCT00899171	Role of methylation and histone modification in IRF8 gene expression	IRF8 gene	IRF8	epigenetic
NCT01013285	Median Overall Survival (OS) Based on the MGMT Promoter Methylation Status	MGMT Promoter	MGMT	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	APC	APC	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	APC	PROC	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	AXIN2	AXIN2	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	CDH1	CDH1	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	DKK1	DKK1	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	GATA4	GATA4	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	GSTP1	GSTP1	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	SFRP1	SFRP1	epigenetic
NCT01214681	Target gene methylation (p16, GSTP1, RARβ2, CDH1 GATA4 APC, SFRP1, 2, 4 and 5, AXIN2, DKK1 and WIF1)	WIF1	WIF1	epigenetic
NCT01242566	Efficacy according to MGMT Promoter methylation status	MGMT Promoter	MGMT	epigenetic
NCT01313039	Rate of ER Promoter Methylation in ER-negative/Low Breast Cancer	ER Promoter	ESR1	epigenetic
NCT01390571	Measurement of methylation of the MGMT promoter gene by bisulfite modification of DNA and pyrosequencing	MGMT promoter gene	MGMT	epigenetic
NCT01459380	Methylation status in the promoter of the BRCA1 or BRCA2 genes	BRCA1	BRCA1	epigenetic
NCT01459380	Methylation status in the promoter of the BRCA1 or BRCA2 genes	BRCA2 genes	BRCA2	epigenetic
NCT01525082	O6-methylguanine DNA Methyltransferase (MGMT) by Promoter Methylation	MGMT	MGMT	epigenetic
NCT01525082	O6-methylguanine DNA Methyltransferase (MGMT) by Promoter Methylation	O6-methylguanine DNA Methyltransferase	MGMT	epigenetic
NCT01534845	Methylation status of MGMT	MGMT	MGMT	epigenetic
NCT01634776	Stability of methylation of promoter region of FADS2 gene	FADS2 gene	FADS2	epigenetic
NCT01639131	CHFR methylation	CHFR	CHFR	epigenetic
NCT01639131	CHFR methylation II	CHFR	CHFR	epigenetic
NCT01700569	MGMT gene re-methylation	MGMT gene	MGMT	epigenetic
NCT01715233	CHFR Methylation Status	CHFR	CHFR	epigenetic
NCT01849146	MGMT methylation status	MGMT	MGMT	epigenetic
NCT02005289	Zap-70 methylation	Zap-70	ZAP70	epigenetic
NCT02209948	Median Progression-free Survival (PFS) by Arm and MGMT Methylation Status	MGMT	MGMT	epigenetic
NCT02209948	Median Overall Survival (OS) by Arm and MGMT Methylation Status	MGMT	MGMT	epigenetic
NCT02479113	DNA methylation of placental leptin gene	leptin gene	LEP	epigenetic
NCT02685605	OS with respect to MGMT promoter methylation status	MGMT promoter	MGMT	epigenetic
NCT02685605	PFS with respect to MGMT promoter methylation status	MGMT promoter	MGMT	epigenetic
NCT02868905	Methylation of CpG islands in genomic DNA and in 4 target genes involved in AD (APP, SorLA/LR11, BACE1, LRP) in obese and AD subjects	APP	APP	epigenetic
NCT02868905	Methylation of CpG islands in genomic DNA and in 4 target genes involved in AD (APP, SorLA/LR11, BACE1, LRP) in obese and AD subjects	BACE1	BACE1	epigenetic
NCT02868905	Methylation of CpG islands in genomic DNA and in 4 target genes involved in AD (APP, SorLA/LR11, BACE1, LRP) in obese and AD subjects	LR11	SORL1	epigenetic
NCT02868905	Methylation of CpG islands in genomic DNA and in 4 target genes involved in AD (APP, SorLA/LR11, BACE1, LRP) in obese and AD subjects	SorLA	SORL1	epigenetic
NCT02965703	Methylation in CDKN2A (cell cycle regulation), MGMT (deoxyribonucleic acid [DNA] repair), DAPK1 (apoptosis), CDH1 (cell invasion), WNT16 (Wnt pathway), and RASSF1 (RAS signaling) assessed by pyrosequencing method	CDH1	CDH1	epigenetic
NCT02965703	Methylation in CDKN2A (cell cycle regulation), MGMT (deoxyribonucleic acid [DNA] repair), DAPK1 (apoptosis), CDH1 (cell invasion), WNT16 (Wnt pathway), and RASSF1 (RAS signaling) assessed by pyrosequencing method	CDKN2A	CDKN2A	epigenetic
NCT02965703	Methylation in CDKN2A (cell cycle regulation), MGMT (deoxyribonucleic acid [DNA] repair), DAPK1 (apoptosis), CDH1 (cell invasion), WNT16 (Wnt pathway), and RASSF1 (RAS signaling) assessed by pyrosequencing method	DAPK1	DAPK1	epigenetic
NCT02997423	MGMT methylation status on OS and PFS	MGMT	MGMT	epigenetic
NCT02997423	Compare the prognostic abilities of CcO activity to another frequently used biomarker, the methylation status of O6-methylguanine-DNA methyltransferase (MGMT) on OS and PFS times.	MGMT	MGMT	epigenetic
NCT02997423	Compare the prognostic abilities of CcO activity to another frequently used biomarker, the methylation status of O6-methylguanine-DNA methyltransferase (MGMT) on OS and PFS times.	O6-methylguanine-DNA methyltransferase	MGMT	epigenetic
NCT03014804	Association of Progression Free Survival (PFS) and Overall Survival (OS) with MGMT methylation status	MGMT	MGMT	epigenetic
NCT03025893	MGMT promoter methylation status	MGMT promoter	MGMT	epigenetic
NCT03135795	Quantification of methylation in CpG islands located in gene OPRM1	OPRM1	OPRM1	epigenetic
NCT03146520	Positive ratio of SDC2 methylation in other cancers	SDC2	SDC2	epigenetic
NCT03146520	Positive ratio of SDC2 methylation in polyps	SDC2	SDC2	epigenetic
NCT03205761	BRCA1 and BRCA2 expression data will be correlated with promoter methylation status	BRCA1	BRCA1	epigenetic
NCT03205761	BRCA1 and BRCA2 expression data will be correlated with promoter methylation status	BRCA2	BRCA2	epigenetic
NCT03236272	Detection of methylation of occludin (OCLN) gene	occludin	OCLN	epigenetic
NCT03236272	Detection of methylation of occludin (OCLN) gene	OCLN	OCLN	epigenetic
NCT03542097	Assessment of MGMT promoter methylation	MGMT promoter	MGMT	epigenetic
NCT03651388	Study of the methylation of the BCL2 promoter	BCL2 promoter	BCL2	epigenetic
NCT03718104	Maternal saliva OPRM1 methylation status	OPRM1	OPRM1	epigenetic
NCT03795688	Composite measure of methylation status for the FKBP5, glucocorticoid receptor, 11-beta hydroxysteroid dehydrogenase type 2 genes. Infants from total group	FKBP5	FKBP5	epigenetic
NCT03795688	Composite measure of methylation status for the FKBP5, glucocorticoid receptor, 11-beta hydroxysteroid dehydrogenase type 2 genes. Infants from total group	glucocorticoid receptor	NR3C1	epigenetic
NCT03795688	DNA methylation of the glucocorticoid receptor gene	glucocorticoid receptor gene	NR3C1	epigenetic
NCT03795688	Methylation status for the glucocorticoid receptor gene, total group	glucocorticoid receptor gene	NR3C1	epigenetic
NCT03795688	DNA methylation of the MAO-A gene	MAO-A gene	MAOA	epigenetic
NCT03795688	Change in DNA methylation of the MAO-A gene	MAO-A gene	MAOA	epigenetic
NCT03795688	DNA methylation of the oxytocin gene	oxytocin gene	OXT	epigenetic
NCT03795688	Change in DNA methylation of the oxytocin gene	oxytocin gene	OXT	epigenetic
NCT03795688	DNA methylation of the oxytocin receptor gene	oxytocin receptor gene	OXTR	epigenetic
NCT03795688	DNA methylation of the SERT gene	SERT gene	SLC6A4	epigenetic
NCT03795688	DNA Methylation status for the SERT gene, total group	SERT gene	SLC6A4	epigenetic
NCT03897491	MGMT promoter methylation status of the patient	MGMT promoter	MGMT	epigenetic
NCT04027374	Methylation status at NRC3C1 and the FKBP5 gene	FKBP5 gene	FKBP5	epigenetic
NCT04096521	DNA methylation of IGF2 gene	IGF2 gene	IGF2	epigenetic
NCT04096521	DNA methylation of IGF2 gene using pyrosequencing method	IGF2 gene	IGF2	epigenetic
NCT04106310	DNA methylation analysis of IFNGR1 gene	IFNGR1 gene	IFNGR1	epigenetic
NCT04106310	DNA methylation analysis of LY96 gene	LY96 gene	LY96	epigenetic
NCT04106310	DNA methylation analysis of TRPV1 gene	TRPV1 gene	TRPV1	epigenetic
NCT04304131	SDC2 methylation in stool DNA	SDC2	SDC2	epigenetic
NCT04560517	Evolution of BDNF gene methylation	BDNF gene	BDNF	epigenetic
NCT04818112	Oxytocin receptor gene DNA methylation reflecting epigenetic marks	Oxytocin receptor gene	OXTR	epigenetic
NCT04832269	DNA methylation at GC receptor gene NR3C1 and at the H19 locus	GC receptor gene	GC	epigenetic
NCT04832269	DNA methylation at GC receptor gene NR3C1 and at the H19 locus	NR3C1	NR3C1	epigenetic
NCT04893356	To analyze the methylation status of the MGMT promoter in histological specimens	MGMT promoter	MGMT	epigenetic
NCT04981821	Difference between experimental and active comparator arms- DNA methylation in the TNFα promoter region	TNFα promoter	TNF	epigenetic
NCT04981821	DNA methylation in the TNFα promoter region	TNFα promoter	TNF	epigenetic
NCT00550485	ABCB1 gene expression	ABCB1 gene	ABCB1	gene expression
NCT01185587	ACE mRNA	ACE	ACE	gene expression
NCT01251458	To correlate stathmin expression in pre-treatment HCC tumour biopsies and clinical response to Torisel®	stathmin	STMN1	gene expression
NCT01424306	Adipose Tissue Inflammation - Tissue Expression of IL-6 mRNA	IL-6	IL6	gene expression
NCT01424306	Adipose Tissue Inflammation - Tissue Expression of TNF-alpha mRNA	TNF-alpha	TNF	gene expression
NCT01861314	Change in miR-29b expression in blood and bone marrow	miR-29b	MIR29B1	gene expression
NCT01861314	Change in miR-29b expression in blood and bone marrow	miR-29b	MIR29B2	gene expression
NCT02498002	ACACA Gene Expression in Subcutaneous Adipose Tissue	ACACA Gene	ACACA	gene expression
NCT02498002	ACADM Gene Expression in Subcutaneous Adipose Tissue	ACADM Gene	ACADM	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	CD36	CD36	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	HIF-1a	HIF1A	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	LPL	LPL	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	midkine	MDK	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	restin	CLIP1	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	restin	COL15A1	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	restin	MAGEH1	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	tenascin-C	TNC	gene expression
NCT02845063	mRNA expression of VEGF, HIF-1a, HIF-1b, tenascin-C, Angpt1, Angpt1R, neuropilin, midkine, restin, COX4-1, COX4I-2, CPTI, LPL, LIPE, FATP, CD36 [relative expression per 28S rRNA]	VEGF	VEGFA	gene expression
NCT02928614	Change in miRNA let-7e	let-7e	MIRLET7E	gene expression
NCT02970942	Change in microRNA 122 (miR-122)	microRNA 122	MIR122	gene expression
NCT02970942	Change in microRNA 122 (miR-122)	miR-122	MIR122	gene expression
NCT02970942	Change in miR-122 (measured as 1/microliter) is presented as ratio to baseline. The endpoint was evaluated based on the data from in-trial period which started on the date of the randomisation visit and ended on the first of the following dates (both inclusive): 1) follow-up visit (Week 79); 2) withdrawal of consent; 3) last contact with participant (for participants lost to follow-up); 4) death.	miR-122	MIR122	gene expression
NCT02983279	Change in genomic expression of microRNA 21 (miR-21)	microRNA 21	MIR21	gene expression
NCT02983279	Change in genomic expression of microRNA 21 (miR-21)	miR-21	MIR21	gene expression
NCT02983279	Change in miR-21 expression assessed in serum	miR-21	MIR21	gene expression
NCT03278977	Acetylcholinesterase mRNA expression in blood	Acetylcholinesterase	ACHE	gene expression
NCT03373786	Change in miR-21 expression in renal tissue	miR-21	MIR21	gene expression
NCT03442374	ADIPOQ gene expression	ADIPOQ gene	ADIPOQ	gene expression
NCT03442374	ADIPOQ gene expression (delta CT/delta CT)	ADIPOQ gene	ADIPOQ	gene expression
NCT03719339	Amount of CD3E mRNA (CD3-epsilon polypeptide)	CD3-epsilon	CD3E	gene expression
NCT03719339	Amount of CD3E mRNA (CD3-epsilon polypeptide)	CD3E	CD3E	gene expression
NCT03804411	Change from baseline in serum level of microRNA-126, microRNA-21, microRNA-27, miRNA-125 and miRoRNA-155 (relative units)	microRNA-126	MIR126	gene expression
NCT03804411	Change from baseline in serum level of microRNA-126, microRNA-21, microRNA-27, miRNA-125 and miRoRNA-155 (relative units)	microRNA-21	MIR21	gene expression
NCT04137627	Change in Expression of miR-210 as Measured by qRT-PCR Absolute Quantification	miR-210	MIR210	gene expression
NCT04140968	Change in miRNA expression (miR-370, miR-29b)	miR-29b	MIR29B1	gene expression
NCT04140968	Change in miRNA expression (miR-370, miR-29b)	miR-29b	MIR29B2	gene expression
NCT04546698	5-HT7 Serotonin receptor mRNA quantity	5-HT7	HTR7	gene expression
NCT04802044	Aging Parameter (ACE-2 gene expression) in COVID-19 Patients	ACE-2 gene	ACE2	gene expression
NCT04909489	3-phosphoglycerate dehydrogenase (PHGDH) RNA in the cell models of disease-TCM syndrome	3-phosphoglycerate dehydrogenase	PHGDH	gene expression
NCT04909489	3-phosphoglycerate dehydrogenase (PHGDH) RNA in the cell models of disease-TCM syndrome	PHGDH	PHGDH	gene expression
NCT05097365	Change from baseline on miR-126 expression at 12 weeks	miR-126	MIR126	gene expression
NCT05097365	Change from baseline on miR-21 expression at 12 weeks	miR-21	MIR21	gene expression
NCT05127824	Alterations in transcriptional profiling of tumor-associated TLS and the TME after treatment. IFM reduction in co-expression of exhaustion markers including immune checkpoint molecules (PD1, CTLA4, LAG3, TIM3, TIGIT, BTLA, VISTA) and (pro-apoptotic) Annexin-V, and increase in expression of IFN-gamma and granzyme B in TLS vs. non-TLS-associated tumor tissue.	Annexin-V	ANXA5	gene expression
NCT05127824	Alterations in transcriptional profiling of tumor-associated TLS and the TME after treatment. IFM reduction in co-expression of exhaustion markers including immune checkpoint molecules (PD1, CTLA4, LAG3, TIM3, TIGIT, BTLA, VISTA) and (pro-apoptotic) Annexin-V, and increase in expression of IFN-gamma and granzyme B in TLS vs. non-TLS-associated tumor tissue.	BTLA	BTLA	gene expression
NCT05127824	Alterations in transcriptional profiling of tumor-associated TLS and the TME after treatment. IFM reduction in co-expression of exhaustion markers including immune checkpoint molecules (PD1, CTLA4, LAG3, TIM3, TIGIT, BTLA, VISTA) and (pro-apoptotic) Annexin-V, and increase in expression of IFN-gamma and granzyme B in TLS vs. non-TLS-associated tumor tissue.	CTLA4	CTLA4	gene expression
NCT05127824	Alterations in transcriptional profiling of tumor-associated TLS and the TME after treatment. IFM reduction in co-expression of exhaustion markers including immune checkpoint molecules (PD1, CTLA4, LAG3, TIM3, TIGIT, BTLA, VISTA) and (pro-apoptotic) Annexin-V, and increase in expression of IFN-gamma and granzyme B in TLS vs. non-TLS-associated tumor tissue.	granzyme B	GZMB	gene expression
NCT05127824	Alterations in transcriptional profiling of tumor-associated TLS and the TME after treatment. IFM reduction in co-expression of exhaustion markers including immune checkpoint molecules (PD1, CTLA4, LAG3, TIM3, TIGIT, BTLA, VISTA) and (pro-apoptotic) Annexin-V, and increase in expression of IFN-gamma and granzyme B in TLS vs. non-TLS-associated tumor tissue.	IFN-gamma	IFNG	gene expression
NCT05127824	Alterations in transcriptional profiling of tumor-associated TLS and the TME after treatment. IFM reduction in co-expression of exhaustion markers including immune checkpoint molecules (PD1, CTLA4, LAG3, TIM3, TIGIT, BTLA, VISTA) and (pro-apoptotic) Annexin-V, and increase in expression of IFN-gamma and granzyme B in TLS vs. non-TLS-associated tumor tissue.	LAG3	LAG3	gene expression
